type	name	tbl_name	rootpage	sql
table	perfetto_tables	perfetto_tables	2	CREATE TABLE perfetto_tables(name STRING)
table	machine	machine	0	CREATE VIRTUAL TABLE machine USING static_table
table	__intrinsic_args	__intrinsic_args	0	CREATE VIRTUAL TABLE __intrinsic_args USING static_table
table	__intrinsic_chrome_raw	__intrinsic_chrome_raw	0	CREATE VIRTUAL TABLE __intrinsic_chrome_raw USING static_table
table	__intrinsic_ftrace_event	__intrinsic_ftrace_event	0	CREATE VIRTUAL TABLE __intrinsic_ftrace_event USING static_table
table	__intrinsic_thread	__intrinsic_thread	0	CREATE VIRTUAL TABLE __intrinsic_thread USING static_table
table	__intrinsic_process	__intrinsic_process	0	CREATE VIRTUAL TABLE __intrinsic_process USING static_table
table	filedescriptor	filedescriptor	0	CREATE VIRTUAL TABLE filedescriptor USING static_table
table	__intrinsic_trace_file	__intrinsic_trace_file	0	CREATE VIRTUAL TABLE __intrinsic_trace_file USING static_table
table	__intrinsic_slice	__intrinsic_slice	0	CREATE VIRTUAL TABLE __intrinsic_slice USING static_table
table	flow	flow	0	CREATE VIRTUAL TABLE flow USING static_table
table	__intrinsic_sched_slice	__intrinsic_sched_slice	0	CREATE VIRTUAL TABLE __intrinsic_sched_slice USING static_table
table	spurious_sched_wakeup	spurious_sched_wakeup	0	CREATE VIRTUAL TABLE spurious_sched_wakeup USING static_table
table	__intrinsic_thread_state	__intrinsic_thread_state	0	CREATE VIRTUAL TABLE __intrinsic_thread_state USING static_table
table	__intrinsic_track	__intrinsic_track	0	CREATE VIRTUAL TABLE __intrinsic_track USING static_table
table	__intrinsic_counter	__intrinsic_counter	0	CREATE VIRTUAL TABLE __intrinsic_counter USING static_table
table	gpu_counter_group	gpu_counter_group	0	CREATE VIRTUAL TABLE gpu_counter_group USING static_table
table	heap_graph_object	heap_graph_object	0	CREATE VIRTUAL TABLE heap_graph_object USING static_table
table	heap_graph_reference	heap_graph_reference	0	CREATE VIRTUAL TABLE heap_graph_reference USING static_table
table	heap_graph_class	heap_graph_class	0	CREATE VIRTUAL TABLE heap_graph_class USING static_table
table	stack_profile_symbol	stack_profile_symbol	0	CREATE VIRTUAL TABLE stack_profile_symbol USING static_table
table	heap_profile_allocation	heap_profile_allocation	0	CREATE VIRTUAL TABLE heap_profile_allocation USING static_table
table	cpu_profile_stack_sample	cpu_profile_stack_sample	0	CREATE VIRTUAL TABLE cpu_profile_stack_sample USING static_table
table	__intrinsic_perf_session	__intrinsic_perf_session	0	CREATE VIRTUAL TABLE __intrinsic_perf_session USING static_table
table	perf_sample	perf_sample	0	CREATE VIRTUAL TABLE perf_sample USING static_table
table	instruments_sample	instruments_sample	0	CREATE VIRTUAL TABLE instruments_sample USING static_table
table	stack_profile_callsite	stack_profile_callsite	0	CREATE VIRTUAL TABLE stack_profile_callsite USING static_table
table	stack_profile_mapping	stack_profile_mapping	0	CREATE VIRTUAL TABLE stack_profile_mapping USING static_table
table	stack_profile_frame	stack_profile_frame	0	CREATE VIRTUAL TABLE stack_profile_frame USING static_table
table	package_list	package_list	0	CREATE VIRTUAL TABLE package_list USING static_table
table	profiler_smaps	profiler_smaps	0	CREATE VIRTUAL TABLE profiler_smaps USING static_table
table	__intrinsic_android_logs	__intrinsic_android_logs	0	CREATE VIRTUAL TABLE __intrinsic_android_logs USING static_table
table	android_dumpstate	android_dumpstate	0	CREATE VIRTUAL TABLE android_dumpstate USING static_table
table	android_game_intervention_list	android_game_intervention_list	0	CREATE VIRTUAL TABLE android_game_intervention_list USING static_table
table	__intrinsic_android_key_events	__intrinsic_android_key_events	0	CREATE VIRTUAL TABLE __intrinsic_android_key_events USING static_table
table	__intrinsic_android_motion_events	__intrinsic_android_motion_events	0	CREATE VIRTUAL TABLE __intrinsic_android_motion_events USING static_table
table	__intrinsic_android_input_event_dispatch	__intrinsic_android_input_event_dispatch	0	CREATE VIRTUAL TABLE __intrinsic_android_input_event_dispatch USING static_table
table	vulkan_memory_allocations	vulkan_memory_allocations	0	CREATE VIRTUAL TABLE vulkan_memory_allocations USING static_table
table	__intrinsic_android_network_packets	__intrinsic_android_network_packets	0	CREATE VIRTUAL TABLE __intrinsic_android_network_packets USING static_table
table	__intrinsic_v8_isolate	__intrinsic_v8_isolate	0	CREATE VIRTUAL TABLE __intrinsic_v8_isolate USING static_table
table	__intrinsic_v8_js_script	__intrinsic_v8_js_script	0	CREATE VIRTUAL TABLE __intrinsic_v8_js_script USING static_table
table	__intrinsic_v8_wasm_script	__intrinsic_v8_wasm_script	0	CREATE VIRTUAL TABLE __intrinsic_v8_wasm_script USING static_table
table	__intrinsic_v8_js_function	__intrinsic_v8_js_function	0	CREATE VIRTUAL TABLE __intrinsic_v8_js_function USING static_table
table	__intrinsic_v8_js_code	__intrinsic_v8_js_code	0	CREATE VIRTUAL TABLE __intrinsic_v8_js_code USING static_table
table	__intrinsic_v8_internal_code	__intrinsic_v8_internal_code	0	CREATE VIRTUAL TABLE __intrinsic_v8_internal_code USING static_table
table	__intrinsic_v8_wasm_code	__intrinsic_v8_wasm_code	0	CREATE VIRTUAL TABLE __intrinsic_v8_wasm_code USING static_table
table	__intrinsic_v8_regexp_code	__intrinsic_v8_regexp_code	0	CREATE VIRTUAL TABLE __intrinsic_v8_regexp_code USING static_table
table	__intrinsic_jit_code	__intrinsic_jit_code	0	CREATE VIRTUAL TABLE __intrinsic_jit_code USING static_table
table	__intrinsic_jit_frame	__intrinsic_jit_frame	0	CREATE VIRTUAL TABLE __intrinsic_jit_frame USING static_table
table	__intrinsic_etm_v4_configuration	__intrinsic_etm_v4_configuration	0	CREATE VIRTUAL TABLE __intrinsic_etm_v4_configuration USING static_table
table	__intrinsic_etm_v4_session	__intrinsic_etm_v4_session	0	CREATE VIRTUAL TABLE __intrinsic_etm_v4_session USING static_table
table	__intrinsic_etm_v4_trace	__intrinsic_etm_v4_trace	0	CREATE VIRTUAL TABLE __intrinsic_etm_v4_trace USING static_table
table	__intrinsic_elf_file	__intrinsic_elf_file	0	CREATE VIRTUAL TABLE __intrinsic_elf_file USING static_table
table	__intrinsic_file	__intrinsic_file	0	CREATE VIRTUAL TABLE __intrinsic_file USING static_table
table	__intrinsic_spe_record	__intrinsic_spe_record	0	CREATE VIRTUAL TABLE __intrinsic_spe_record USING static_table
table	__intrinsic_mmap_record	__intrinsic_mmap_record	0	CREATE VIRTUAL TABLE __intrinsic_mmap_record USING static_table
table	__intrinsic_inputmethod_clients	__intrinsic_inputmethod_clients	0	CREATE VIRTUAL TABLE __intrinsic_inputmethod_clients USING static_table
table	__intrinsic_inputmethod_manager_service	__intrinsic_inputmethod_manager_service	0	CREATE VIRTUAL TABLE __intrinsic_inputmethod_manager_service USING static_table
table	__intrinsic_inputmethod_service	__intrinsic_inputmethod_service	0	CREATE VIRTUAL TABLE __intrinsic_inputmethod_service USING static_table
table	surfaceflinger_layers_snapshot	surfaceflinger_layers_snapshot	0	CREATE VIRTUAL TABLE surfaceflinger_layers_snapshot USING static_table
table	surfaceflinger_layer	surfaceflinger_layer	0	CREATE VIRTUAL TABLE surfaceflinger_layer USING static_table
table	surfaceflinger_transactions	surfaceflinger_transactions	0	CREATE VIRTUAL TABLE surfaceflinger_transactions USING static_table
table	__intrinsic_viewcapture	__intrinsic_viewcapture	0	CREATE VIRTUAL TABLE __intrinsic_viewcapture USING static_table
table	__intrinsic_viewcapture_view	__intrinsic_viewcapture_view	0	CREATE VIRTUAL TABLE __intrinsic_viewcapture_view USING static_table
table	__intrinsic_windowmanager	__intrinsic_windowmanager	0	CREATE VIRTUAL TABLE __intrinsic_windowmanager USING static_table
table	window_manager_shell_transitions	window_manager_shell_transitions	0	CREATE VIRTUAL TABLE window_manager_shell_transitions USING static_table
table	window_manager_shell_transition_handlers	window_manager_shell_transition_handlers	0	CREATE VIRTUAL TABLE window_manager_shell_transition_handlers USING static_table
table	__intrinsic_window_manager_shell_transition_protos	__intrinsic_window_manager_shell_transition_protos	0	CREATE VIRTUAL TABLE __intrinsic_window_manager_shell_transition_protos USING static_table
table	protolog	protolog	0	CREATE VIRTUAL TABLE protolog USING static_table
table	metadata	metadata	0	CREATE VIRTUAL TABLE metadata USING static_table
table	__intrinsic_cpu	__intrinsic_cpu	0	CREATE VIRTUAL TABLE __intrinsic_cpu USING static_table
table	__intrinsic_cpu_freq	__intrinsic_cpu_freq	0	CREATE VIRTUAL TABLE __intrinsic_cpu_freq USING static_table
table	clock_snapshot	clock_snapshot	0	CREATE VIRTUAL TABLE clock_snapshot USING static_table
table	memory_snapshot	memory_snapshot	0	CREATE VIRTUAL TABLE memory_snapshot USING static_table
table	process_memory_snapshot	process_memory_snapshot	0	CREATE VIRTUAL TABLE process_memory_snapshot USING static_table
table	memory_snapshot_node	memory_snapshot_node	0	CREATE VIRTUAL TABLE memory_snapshot_node USING static_table
table	memory_snapshot_edge	memory_snapshot_edge	0	CREATE VIRTUAL TABLE memory_snapshot_edge USING static_table
table	experimental_proto_path	experimental_proto_path	0	CREATE VIRTUAL TABLE experimental_proto_path USING static_table
table	experimental_proto_content	experimental_proto_content	0	CREATE VIRTUAL TABLE experimental_proto_content USING static_table
table	experimental_missing_chrome_processes	experimental_missing_chrome_processes	0	CREATE VIRTUAL TABLE experimental_missing_chrome_processes USING static_table
table	experimental_flamegraph	experimental_flamegraph	0	CREATE VIRTUAL TABLE experimental_flamegraph USING static_table_function
table	experimental_slice_layout	experimental_slice_layout	0	CREATE VIRTUAL TABLE experimental_slice_layout USING static_table_function
table	perfetto_table_info	perfetto_table_info	0	CREATE VIRTUAL TABLE perfetto_table_info USING static_table_function
table	ancestor_slice	ancestor_slice	0	CREATE VIRTUAL TABLE ancestor_slice USING static_table_function
table	experimental_ancestor_stack_profile_callsite	experimental_ancestor_stack_profile_callsite	0	CREATE VIRTUAL TABLE experimental_ancestor_stack_profile_callsite USING static_table_function
table	ancestor_slice_by_stack	ancestor_slice_by_stack	0	CREATE VIRTUAL TABLE ancestor_slice_by_stack USING static_table_function
table	descendant_slice	descendant_slice	0	CREATE VIRTUAL TABLE descendant_slice USING static_table_function
table	descendant_slice_by_stack	descendant_slice_by_stack	0	CREATE VIRTUAL TABLE descendant_slice_by_stack USING static_table_function
table	directly_connected_flow	directly_connected_flow	0	CREATE VIRTUAL TABLE directly_connected_flow USING static_table_function
table	preceding_flow	preceding_flow	0	CREATE VIRTUAL TABLE preceding_flow USING static_table_function
table	following_flow	following_flow	0	CREATE VIRTUAL TABLE following_flow USING static_table_function
table	experimental_annotated_callstack	experimental_annotated_callstack	0	CREATE VIRTUAL TABLE experimental_annotated_callstack USING static_table_function
table	experimental_flat_slice	experimental_flat_slice	0	CREATE VIRTUAL TABLE experimental_flat_slice USING static_table_function
table	__intrinsic_dfs_weight_bounded	__intrinsic_dfs_weight_bounded	0	CREATE VIRTUAL TABLE __intrinsic_dfs_weight_bounded USING static_table_function
table	__intrinsic_winscope_proto_to_args_with_defaults	__intrinsic_winscope_proto_to_args_with_defaults	0	CREATE VIRTUAL TABLE __intrinsic_winscope_proto_to_args_with_defaults USING static_table_function
table	_trace_metrics	_trace_metrics	6	CREATE TABLE _trace_metrics(
  -- The name of the metric.
  name STRING
)
table	window	window	0	CREATE VIRTUAL TABLE window USING window()
table	_trace_bounds	_trace_bounds	7	CREATE TABLE _trace_bounds(start_ts,end_ts)
table	thread_track	thread_track	0	CREATE VIRTUAL TABLE thread_track USING runtime_table
table	process_track	process_track	0	CREATE VIRTUAL TABLE process_track USING runtime_table
table	cpu_track	cpu_track	0	CREATE VIRTUAL TABLE cpu_track USING runtime_table
table	gpu_track	gpu_track	0	CREATE VIRTUAL TABLE gpu_track USING runtime_table
table	cpu_counter_track	cpu_counter_track	0	CREATE VIRTUAL TABLE cpu_counter_track USING runtime_table
table	gpu_counter_track	gpu_counter_track	0	CREATE VIRTUAL TABLE gpu_counter_track USING runtime_table
table	process_counter_track	process_counter_track	0	CREATE VIRTUAL TABLE process_counter_track USING runtime_table
table	thread_counter_track	thread_counter_track	0	CREATE VIRTUAL TABLE thread_counter_track USING runtime_table
table	perf_counter_track	perf_counter_track	0	CREATE VIRTUAL TABLE perf_counter_track USING runtime_table
table	expected_frame_timeline_slice	expected_frame_timeline_slice	0	CREATE VIRTUAL TABLE expected_frame_timeline_slice USING runtime_table
table	actual_frame_timeline_slice	actual_frame_timeline_slice	0	CREATE VIRTUAL TABLE actual_frame_timeline_slice USING runtime_table
table	_slice_track_summary	_slice_track_summary	0	CREATE VIRTUAL TABLE _slice_track_summary USING runtime_table
table	_counter_track_summary	_counter_track_summary	0	CREATE VIRTUAL TABLE _counter_track_summary USING runtime_table
table	_sched_summary	_sched_summary	0	CREATE VIRTUAL TABLE _sched_summary USING runtime_table
table	_thread_track_summary	_thread_track_summary	0	CREATE VIRTUAL TABLE _thread_track_summary USING runtime_table
table	_perf_sample_summary	_perf_sample_summary	0	CREATE VIRTUAL TABLE _perf_sample_summary USING runtime_table
table	_instruments_sample_summary	_instruments_sample_summary	0	CREATE VIRTUAL TABLE _instruments_sample_summary USING runtime_table
table	_thread_available_info_summary	_thread_available_info_summary	0	CREATE VIRTUAL TABLE _thread_available_info_summary USING runtime_table
table	_process_track_summary	_process_track_summary	0	CREATE VIRTUAL TABLE _process_track_summary USING runtime_table
table	_heap_profile_allocation_summary	_heap_profile_allocation_summary	0	CREATE VIRTUAL TABLE _heap_profile_allocation_summary USING runtime_table
